,Neighborhood,Deaths
0,Mission,38
1,Bayview Hunters Point,30
2,Tenderloin,28
3,South of Market,27
4,Financial District/South Beach,15
5,Sunset/Parkside,14
6,Marina,13
7,West of Twin Peaks,13
8,Hayes Valley,12
9,Portola,11
10,Western Addition,10
11,Excelsior,10
12,Oceanview/Merced/Ingleside,10
13,Golden Gate Park,10
14,Outer Richmond,10
15,Nob Hill,9
16,Lakeshore,8
17,Outer Mission,8
18,Chinatown,7
19,North Beach,5
20,Pacific Heights,5
21,Bernal Heights,5
22,Inner Richmond,5
23,Treasure Island,4
24,Mission Bay,4
25,Lone Mountain/USF,4
26,Castro/Upper Market,4
27,Noe Valley,4
28,McLaren Park,4
29,Inner Sunset,3
30,Haight Ashbury,3
31,Russian Hill,3
32,Glen Park,2
33,Japantown,2
34,Potrero Hill,2
35,Visitacion Valley,2
